run_name,params,tokens_per_step,flops_per_step,flops_budget,total_steps,tokens_trained,hours,final_loss,final_psnr
isoflop_tokenizer_F1e16_d6,28554064,1048576,2.300666e+14,1e+16,42,44040192,0.0327,0.815220,12.7543
isoflop_tokenizer_F3e16_d6,28554064,1048576,2.300666e+14,3e+16,129,135266304,0.0363,0.451588,15.7311
isoflop_tokenizer_F6e16_d6,28554064,1048576,2.300666e+14,6e+16,259,271581184,0.0436,0.236434,18.7331
isoflop_tokenizer_F1e17_d6,28554064,1048576,2.300666e+14,1e+17,433,454033408,0.0521,0.161570,20.4638
isoflop_tokenizer_F3e17_d6,28554064,1048576,2.300666e+14,3e+17,1302,1365245952,0.0972,0.060787,25.1208
isoflop_tokenizer_F6e17_d6,28554064,1048576,2.300666e+14,6e+17,2606,2732589056,0.1645,0.023159,29.5521
isoflop_tokenizer_F1e16_d5,16579088,1048576,1.342487e+14,1e+16,73,76546048,0.0306,0.535937,14.8960
isoflop_tokenizer_F3e16_d5,16579088,1048576,1.342487e+14,3e+16,222,232783872,0.0362,0.235365,18.7962
isoflop_tokenizer_F6e16_d5,16579088,1048576,1.342487e+14,6e+16,445,466616320,0.0441,0.148472,20.9713
isoflop_tokenizer_F1e17_d5,16579088,1048576,1.342487e+14,1e+17,743,779091968,0.0551,0.095163,23.0459
isoflop_tokenizer_F3e17_d5,16579088,1048576,1.342487e+14,3e+17,2233,2341470208,0.1088,0.035590,27.4781
isoflop_tokenizer_F6e17_d5,16579088,1048576,1.342487e+14,6e+17,4468,4685037568,0.1888,0.019918,30.2319
isoflop_tokenizer_F1e16_d4,8539088,1048576,6.960225e+13,1e+16,142,148897792,0.0298,0.380213,16.7110
isoflop_tokenizer_F3e16_d4,8539088,1048576,6.960225e+13,3e+16,430,450887680,0.0363,0.158933,20.7475
isoflop_tokenizer_F6e16_d4,8539088,1048576,6.960225e+13,6e+16,861,902823936,0.0459,0.080737,23.6120
isoflop_tokenizer_F1e17_d4,8539088,1048576,6.960225e+13,1e+17,1435,1504706560,0.0597,0.061018,25.0144
isoflop_tokenizer_F3e17_d4,8539088,1048576,6.960225e+13,3e+17,4309,4518313984,0.1233,0.027442,28.6912
isoflop_tokenizer_F6e17_d4,8539088,1048576,6.960225e+13,6e+17,8619,9037676544,0.2206,0.017875,30.9636
isoflop_tokenizer_F1e16_d3,3647632,1048576,3.008738e+13,1e+16,331,347078656,0.0290,0.200388,19.6471
isoflop_tokenizer_F3e16_d3,3647632,1048576,3.008738e+13,3e+16,996,1044381696,0.0395,0.114834,22.2534
isoflop_tokenizer_F6e16_d3,3647632,1048576,3.008738e+13,6e+16,1993,2089811968,0.0562,0.079257,24.2327
isoflop_tokenizer_F1e17_d3,3647632,1048576,3.008738e+13,1e+17,3322,3483369472,0.0776,0.063978,25.2666
isoflop_tokenizer_F3e17_d3,3647632,1048576,3.008738e+13,3e+17,9969,10453254144,0.1864,0.047717,26.9300
isoflop_tokenizer_F6e17_d3,3647632,1048576,3.008738e+13,6e+17,19940,20908605440,0.3456,0.038994,28.1527
isoflop_tokenizer_F1e16_d2,1118288,1048576,9.406608e+12,1e+16,1062,1113587712,0.0367,0.137167,21.5288
isoflop_tokenizer_F3e16_d2,1118288,1048576,9.406608e+12,3e+16,3188,3342860288,0.0673,0.088434,23.7448
isoflop_tokenizer_F6e16_d2,1118288,1048576,9.406608e+12,6e+16,6377,6686769152,0.1111,0.076593,24.5579
isoflop_tokenizer_F1e17_d2,1118288,1048576,9.406608e+12,1e+17,10629,11145314304,0.1705,0.071844,24.8987
isoflop_tokenizer_F3e17_d2,1118288,1048576,9.406608e+12,3e+17,31891,33440137216,0.4759,0.061647,25.5851
isoflop_tokenizer_F6e17_d2,1118288,1048576,9.406608e+12,6e+17,63783,66881323008,0.9245,0.051662,26.3963
isoflop_tokenizer_F1e16_d1,164624,1048576,1.455717e+12,1e+16,6868,7201619968,0.1117,0.168633,20.5982
isoflop_tokenizer_F3e16_d1,164624,1048576,1.455717e+12,3e+16,20607,21608005632,0.3010,0.138741,21.5258
isoflop_tokenizer_F6e16_d1,164624,1048576,1.455717e+12,6e+16,41215,43217059840,0.5744,0.125866,22.1805
isoflop_tokenizer_F1e17_d1,164624,1048576,1.455717e+12,1e+17,68693,72029831168,0.9505,0.124690,22.2154
isoflop_tokenizer_F3e17_d1,164624,1048576,1.455717e+12,3e+17,206082,216092639232,2.8404,0.122330,22.1780
